Trade_No;Direction;Entry_DateTime;Exit_DateTime;Duration_Min;Entry_GC;Entry_SI;Exit_GC;Exit_SI;Entry_ZScore;Exit_ZScore;Exit_Reason;Beta;GC_Contracts;SI_Contracts;PnL_GC;PnL_SI;PnL_Gross;Costs;PnL_Net;Max_PnL_Intra;Min_PnL_Intra;PnL_Cumul
13;LONG;2023-10-08 17:30:00;2023-10-08 19:10:00;100.0;2234.0;26.045;2233.6;26.12;-4.19;1.17;TP_ZSCORE;1.9956;1;1;40.0;375.0;415.0;148.0;267.0;435.0;-100.0;-12.0
14;LONG;2023-10-22 17:30:00;2023-10-22 19:10:00;100.0;2361.8;27.545;2355.1;27.435;-3.85;1.48;TP_ZSCORE;1.0365;1;1;670.0;-550.0;120.0;148.0;-28.0;125.0;-195.0;-40.0
15;SHORT;2023-11-03 07:30:00;2023-11-03 11:05:00;215.0;2379.7;27.18;2371.5;27.36;4.15;-1.17;TP_ZSCORE;0.8655;1;1;-820.0;-900.0;-1720.0;148.0;-1868.0;0.0;-2000.0;-1908.0
16;SHORT;2023-11-14 07:30:00;2023-11-14 12:00:00;270.0;2333.4;26.91;2339.4;27.275;3.8;-1.04;TP_ZSCORE;1.2626;1;1;600.0;-1825.0;-1225.0;148.0;-1373.0;210.0;-1385.0;-3281.0
17;SHORT;2023-11-19 17:55:00;2023-11-19 18:35:00;40.0;2349.1;27.79;2350.3;27.78;3.59;-1.65;TP_ZSCORE;2.3889;1;1;120.0;50.0;170.0;148.0;22.0;180.0;0.0;-3259.0
18;LONG;2023-12-12 18:00:00;2023-12-12 19:55:00;115.0;2348.5;26.853;2346.8;26.803;-4.17;1.4;TP_ZSCORE;1.8992;1;1;170.0;-250.0;-80.0;148.0;-228.0;20.0;-175.0;-3487.0
19;LONG;2023-12-14 17:30:00;2023-12-14 18:05:00;35.0;2404.1;28.213;2400.5;28.168;-3.54;1.06;TP_ZSCORE;2.1853;1;1;360.0;-225.0;135.0;148.0;-13.0;135.0;-20.0;-3500.0
20;SHORT;2023-12-15 12:15:00;2023-12-17 17:30:00;3195.0;2389.6;27.928;2382.8;27.798;3.89;-2.78;TP_ZSCORE;2.0939;1;1;-680.0;650.0;-30.0;148.0;-178.0;0.0;-395.0;-3678.0
21;LONG;2023-12-28 17:30:00;2023-12-28 22:05:00;275.0;2427.4;27.923;2430.7;27.843;-3.96;1.86;TP_ZSCORE;0.5967;1;1;-330.0;-400.0;-730.0;148.0;-878.0;90.0;-840.0;-4556.0
22;LONG;2024-01-10 04:00:00;2024-01-10 06:40:00;160.0;2396.4;27.033;2389.9;26.888;-3.57;2.11;TP_ZSCORE;2.3771;1;1;650.0;-725.0;-75.0;148.0;-223.0;15.0;-270.0;-4779.0
