Trade_No;Direction;Entry_DateTime;Exit_DateTime;Duration_Min;Entry_GC;Entry_SI;Exit_GC;Exit_SI;Entry_ZScore;Exit_ZScore;Exit_Reason;Beta;GC_Contracts;SI_Contracts;PnL_GC;PnL_SI;PnL_Gross;Costs;PnL_Net;Max_PnL_Intra;Min_PnL_Intra;PnL_Cumul
49;LONG;2024-05-30 00:30:00;2024-05-30 02:00:00;90.0;2636.8;34.841;2644.7;34.971;-3.61;1.23;TP_ZSCORE;0.4951;1;1;-79.0;130.0;51.0;27.0;24.0;51.0;-132.0;-1048.5
50;SHORT;2024-06-03 17:30:00;2024-06-03 20:05:00;155.0;2658.9;34.131;2657.8;34.131;3.76;-1.2;TP_ZSCORE;0.8163;1;1;-11.0;0.0;-11.0;27.0;-38.0;19.0;-133.0;-1086.5
51;LONG;2024-07-11 07:30:00;2024-07-11 11:25:00;235.0;2693.5;34.548;2707.1;34.598;-3.84;1.02;TP_ZSCORE;2.5157;3;1;-408.0;50.0;-358.0;38.0;-396.0;118.0;-477.0;-1482.5
52;SHORT;2024-07-16 10:00:00;2024-07-16 11:20:00;80.0;2747.2;34.448;2755.3;34.398;3.68;-1.04;TP_ZSCORE;1.4626;2;1;162.0;50.0;212.0;32.5;179.5;212.0;0.0;-1303.0
53;SHORT;2024-07-18 00:30:00;2024-07-18 03:00:00;150.0;2759.2;33.618;2764.2;33.628;3.53;-1.58;TP_ZSCORE;1.0517;1;1;50.0;-10.0;40.0;27.0;13.0;68.0;-32.0;-1290.0
54;LONG;2024-07-24 20:15:00;2024-07-24 23:30:00;195.0;2680.0;31.733;2663.6;31.058;-3.52;1.07;TP_ZSCORE;1.1744;1;1;164.0;-675.0;-511.0;27.0;-538.0;68.0;-553.0;-1828.0
55;LONG;2024-08-07 00:30:00;2024-08-07 04:15:00;225.0;2675.3;30.168;2675.9;30.008;-3.78;1.15;TP_ZSCORE;1.3774;2;1;-12.0;-160.0;-172.0;32.5;-204.5;33.0;-258.0;-2032.5
56;SHORT;2024-08-29 07:30:00;2024-08-29 08:30:00;60.0;2785.1;32.313;2786.2;32.173;3.67;-1.32;TP_ZSCORE;2.1421;2;1;22.0;140.0;162.0;32.5;129.5;162.0;-52.0;-1903.0
57;SHORT;2024-09-11 00:30:00;2024-09-11 08:40:00;490.0;2791.2;31.415;2776.7;31.365;3.58;-1.44;TP_ZSCORE;2.1208;2;1;-290.0;50.0;-240.0;32.5;-272.5;0.0;-371.0;-2175.5
58;SHORT;2024-09-23 22:05:00;2024-09-23 23:40:00;95.0;2896.2;33.95;2902.1;33.94;3.55;-1.28;TP_ZSCORE;1.9342;2;1;118.0;10.0;128.0;32.5;95.5;128.0;0.0;-2080.0
