Trade_No;Direction;Entry_DateTime;Exit_DateTime;Duration_Min;Entry_GC;Entry_SI;Exit_GC;Exit_SI;Entry_ZScore;Exit_ZScore;Exit_Reason;Beta;GC_Contracts;SI_Contracts;PnL_GC;PnL_SI;PnL_Gross;Costs;PnL_Net;Max_PnL_Intra;Min_PnL_Intra;PnL_Cumul
47;SHORT;2024-05-14 19:00:00;2024-05-14 20:35:00;95.0;2672.5;32.141;2674.2;32.041;4.18;-1.02;TP_ZSCORE;1.7103;1;1;170.0;500.0;670.0;148.0;522.0;820.0;0.0;-4787.0
48;SHORT;2024-05-22 20:30:00;2024-05-22 23:00:00;150.0;2679.6;33.826;2686.1;33.996;3.52;-1.53;TP_ZSCORE;4.0662;3;1;1950.0;-850.0;1100.0;236.0;864.0;1560.0;0.0;-3923.0
49;LONG;2024-05-30 00:30:00;2024-05-30 02:00:00;90.0;2636.8;34.841;2644.7;34.971;-3.61;1.23;TP_ZSCORE;0.4951;1;1;-790.0;650.0;-140.0;148.0;-288.0;115.0;-505.0;-4211.0
50;SHORT;2024-06-03 17:30:00;2024-06-03 20:05:00;155.0;2658.9;34.131;2657.8;34.131;3.76;-1.2;TP_ZSCORE;0.8163;1;1;-110.0;0.0;-110.0;148.0;-258.0;90.0;-630.0;-4469.0
51;LONG;2024-07-11 07:30:00;2024-07-11 11:25:00;235.0;2693.5;34.548;2707.1;34.598;-3.84;1.02;TP_ZSCORE;2.5157;2;1;-2720.0;250.0;-2470.0;192.0;-2662.0;460.0;-3330.0;-7131.0
52;SHORT;2024-07-16 10:00:00;2024-07-16 11:20:00;80.0;2747.2;34.448;2755.3;34.398;3.68;-1.04;TP_ZSCORE;1.4626;1;1;810.0;250.0;1060.0;148.0;912.0;1060.0;0.0;-6219.0
53;SHORT;2024-07-18 00:30:00;2024-07-18 03:00:00;150.0;2759.2;33.618;2764.2;33.628;3.53;-1.58;TP_ZSCORE;1.0517;1;1;500.0;-50.0;450.0;148.0;302.0;450.0;0.0;-5917.0
54;LONG;2024-07-24 20:15:00;2024-07-24 23:30:00;195.0;2680.0;31.733;2663.6;31.058;-3.52;1.07;TP_ZSCORE;1.1744;1;1;1640.0;-3375.0;-1735.0;148.0;-1883.0;800.0;-1795.0;-7800.0
55;LONG;2024-08-07 00:30:00;2024-08-07 04:15:00;225.0;2675.3;30.168;2675.9;30.008;-3.78;1.15;TP_ZSCORE;1.3774;1;1;-60.0;-800.0;-860.0;148.0;-1008.0;165.0;-1290.0;-8808.0
56;SHORT;2024-08-29 07:30:00;2024-08-29 08:30:00;60.0;2785.1;32.313;2786.2;32.173;3.67;-1.32;TP_ZSCORE;2.1421;1;1;110.0;700.0;810.0;148.0;662.0;810.0;-260.0;-8146.0
57;SHORT;2024-09-11 00:30:00;2024-09-11 08:40:00;490.0;2791.2;31.415;2776.7;31.365;3.58;-1.44;TP_ZSCORE;2.1208;1;1;-1450.0;250.0;-1200.0;148.0;-1348.0;0.0;-1855.0;-9494.0
58;SHORT;2024-09-23 22:05:00;2024-09-23 23:40:00;95.0;2896.2;33.95;2902.1;33.94;3.55;-1.28;TP_ZSCORE;1.9342;1;1;590.0;50.0;640.0;148.0;492.0;640.0;0.0;-9002.0
59;LONG;2024-10-07 17:30:00;2024-10-07 19:10:00;100.0;2906.2;34.48;2904.1;34.48;-3.71;1.65;TP_ZSCORE;2.0334;1;1;210.0;0.0;210.0;148.0;62.0;210.0;-45.0;-8940.0
60;LONG;2024-10-10 18:20:00;2024-10-10 20:50:00;150.0;2891.0;33.915;2895.1;34.01;-3.55;1.01;TP_ZSCORE;2.2413;1;1;-410.0;475.0;65.0;148.0;-83.0;65.0;-495.0;-9023.0
61;LONG;2024-10-13 17:30:00;2024-10-13 19:05:00;95.0;2907.6;33.93;2903.5;33.895;-4.06;2.66;TP_ZSCORE;2.3302;1;1;410.0;-175.0;235.0;148.0;87.0;235.0;-55.0;-8936.0
62;LONG;2024-10-16 20:30:00;2024-10-16 23:55:00;205.0;2933.4;34.455;2935.9;34.35;-3.56;1.54;TP_ZSCORE;2.0607;1;1;-250.0;-525.0;-775.0;148.0;-923.0;205.0;-1295.0;-9859.0
63;SHORT;2024-10-21 22:25:00;2024-10-21 23:45:00;80.0;2987.7;36.84;2990.6;36.895;3.6;-1.03;TP_ZSCORE;2.1643;1;1;290.0;-275.0;15.0;148.0;-133.0;85.0;-105.0;-9992.0
64;LONG;2024-11-05 18:20:00;2024-11-05 22:35:00;255.0;2986.6;35.035;2988.7;34.95;-3.83;1.43;TP_ZSCORE;1.2567;1;1;-210.0;-425.0;-635.0;148.0;-783.0;400.0;-1315.0;-10775.0
65;LONG;2024-11-11 23:30:00;2024-11-12 01:05:00;95.0;2855.8;32.93;2854.0;32.99;-3.97;1.12;TP_ZSCORE;1.8417;1;1;180.0;300.0;480.0;148.0;332.0;530.0;0.0;-10443.0
66;LONG;2024-11-25 17:35:00;2024-11-25 19:15:00;100.0;2862.0;32.825;2869.9;32.85;-3.58;1.2;TP_ZSCORE;0.5195;1;1;-790.0;125.0;-665.0;148.0;-813.0;565.0;-850.0;-11256.0
67;SHORT;2024-12-10 18:00:00;2024-12-10 20:50:00;170.0;2939.1;34.767;2953.8;34.937;4.22;-1.36;TP_ZSCORE;0.4721;1;1;1470.0;-850.0;620.0;148.0;472.0;620.0;-90.0;-10784.0
68;LONG;2024-12-19 19:05:00;2024-12-19 22:20:00;195.0;2826.5;31.552;2829.6;31.537;-3.5;1.03;TP_ZSCORE;1.9757;1;1;-310.0;-75.0;-385.0;148.0;-533.0;35.0;-715.0;-11317.0
69;SHORT;2025-01-06 05:10:00;2025-01-06 07:35:00;145.0;2865.4;32.577;2856.3;32.682;3.88;-1.97;TP_ZSCORE;1.0464;1;1;-910.0;-525.0;-1435.0;148.0;-1583.0;0.0;-1665.0;-12900.0
70;LONG;2025-01-26 17:30:00;2025-01-26 21:10:00;220.0;2987.6;33.042;2979.8;32.872;-3.72;1.41;TP_ZSCORE;0.8592;1;1;780.0;-850.0;-70.0;148.0;-218.0;50.0;-605.0;-13118.0
71;LONG;2025-02-11 07:00:00;2025-02-11 08:15:00;75.0;3102.5;33.947;3115.8;34.212;-3.85;1.29;TP_ZSCORE;0.882;1;1;-1330.0;1325.0;-5.0;148.0;-153.0;0.0;-430.0;-13271.0
72;LONG;2025-02-25 01:55:00;2025-02-25 04:05:00;130.0;3134.5;34.452;3141.6;34.657;-3.57;2.2;TP_ZSCORE;1.1792;1;1;-710.0;1025.0;315.0;148.0;167.0;565.0;0.0;-13104.0
73;SHORT;2025-03-11 19:00:00;2025-03-11 20:35:00;95.0;3110.6;35.19;3112.4;35.18;4.13;-1.8;TP_ZSCORE;1.611;1;1;180.0;50.0;230.0;148.0;82.0;230.0;-0.0;-13022.0
74;LONG;2025-03-12 20:00:00;2025-03-12 21:35:00;95.0;3138.8;35.64;3138.7;35.67;-3.59;1.39;TP_ZSCORE;1.6024;1;1;10.0;150.0;160.0;148.0;12.0;185.0;-115.0;-13010.0
75;SHORT;2025-04-02 03:25:00;2025-04-02 05:30:00;125.0;3319.3;36.51;3319.2;36.56;3.52;-1.53;TP_ZSCORE;0.8505;1;1;-10.0;-250.0;-260.0;148.0;-408.0;320.0;-495.0;-13418.0
76;LONG;2025-04-06 17:30:00;2025-04-06 19:20:00;110.0;3188.5;30.465;3157.6;30.345;-3.96;1.41;TP_ZSCORE;0.6653;1;1;3090.0;-600.0;2490.0;148.0;2342.0;2715.0;-180.0;-11076.0
77;SHORT;2025-04-09 12:20:00;2025-04-09 14:00:00;100.0;3247.7;32.145;3250.8;32.605;3.71;-1.3;TP_ZSCORE;2.8936;1;1;310.0;-2300.0;-1990.0;148.0;-2138.0;0.0;-4260.0;-13214.0
78;LONG;2025-04-25 08:20:00;2025-04-25 11:35:00;195.0;3439.4;34.77;3454.8;34.8;-3.56;1.09;TP_ZSCORE;0.5352;1;1;-1540.0;150.0;-1390.0;148.0;-1538.0;0.0;-1780.0;-14752.0
79;LONG;2025-06-23 17:30:00;2025-06-23 19:30:00;120.0;3503.8;37.308;3494.8;37.473;-3.95;1.61;TP_ZSCORE;0.0183;1;1;900.0;825.0;1725.0;148.0;1577.0;2400.0;0.0;-13175.0
80;SHORT;2025-07-15 19:00:00;2025-07-15 21:05:00;125.0;3467.9;39.343;3465.5;39.313;4.21;-1.77;TP_ZSCORE;0.5252;1;1;-240.0;150.0;-90.0;148.0;-238.0;335.0;-90.0;-13413.0
81;LONG;2025-07-17 01:10:00;2025-07-17 04:30:00;200.0;3470.6;39.373;3466.2;39.258;-3.74;1.08;TP_ZSCORE;0.4931;1;1;440.0;-575.0;-135.0;148.0;-283.0;290.0;-525.0;-13696.0
82;LONG;2025-08-17 17:30:00;2025-08-17 19:05:00;95.0;3453.9;39.158;3451.0;39.173;-3.92;2.53;TP_ZSCORE;0.484;1;1;290.0;75.0;365.0;148.0;217.0;615.0;-85.0;-13479.0
83;LONG;2025-08-18 00:30:00;2025-08-18 01:55:00;85.0;3469.8;39.373;3469.0;39.433;-3.85;1.38;TP_ZSCORE;0.418;1;1;80.0;300.0;380.0;148.0;232.0;380.0;-35.0;-13247.0
84;LONG;2025-09-22 19:00:00;2025-09-22 20:40:00;100.0;3857.2;45.002;3867.5;45.017;-4.23;1.01;TP_ZSCORE;1.9274;1;1;-1030.0;75.0;-955.0;148.0;-1103.0;0.0;-955.0;-14350.0
85;SHORT;2025-09-28 22:35:00;2025-09-28 23:55:00;80.0;3901.5;47.867;3908.2;47.817;3.64;-1.23;TP_ZSCORE;1.3561;1;1;670.0;250.0;920.0;148.0;772.0;920.0;-680.0;-13578.0
86;LONG;2025-10-05 18:00:00;2025-10-05 20:25:00;145.0;4016.7;48.997;4003.1;48.887;-3.77;1.25;TP_ZSCORE;1.4702;1;1;1360.0;-550.0;810.0;148.0;662.0;840.0;-135.0;-12916.0
87;LONG;2025-10-09 22:00:00;2025-10-10 00:05:00;125.0;4062.8;47.992;4059.3;48.062;-3.54;1.38;TP_ZSCORE;0.7802;1;1;350.0;350.0;700.0;148.0;552.0;905.0;-5.0;-12364.0
88;SHORT;2025-10-21 19:05:00;2025-10-21 20:40:00;95.0;4127.3;48.082;4185.5;48.577;3.72;-1.15;TP_ZSCORE;1.0264;1;1;5820.0;-2475.0;3345.0;148.0;3197.0;4040.0;-1195.0;-9167.0
89;LONG;2025-10-28 03:25:00;2025-10-28 04:30:00;65.0;4002.7;46.457;3991.2;46.607;-3.89;1.06;TP_ZSCORE;1.3605;1;1;1150.0;750.0;1900.0;148.0;1752.0;1900.0;0.0;-7415.0
90;LONG;2025-11-19 07:30:00;2025-11-19 09:10:00;100.0;4182.5;52.387;4205.8;52.852;-3.56;1.1;TP_ZSCORE;1.8862;1;1;-2330.0;2325.0;-5.0;148.0;-153.0;0.0;-1240.0;-7568.0
91;SHORT;2025-12-26 04:25:00;2025-12-26 05:10:00;45.0;4589.2;75.76;4576.7;74.485;3.65;-2.18;TP_ZSCORE;2.5686;2;1;-2500.0;6375.0;3875.0;192.0;3683.0;3875.0;0.0;-3885.0
92;LONG;2025-12-31 02:55:00;2025-12-31 04:30:00;95.0;4357.4;70.515;4358.3;71.22;-3.58;1.1;TP_ZSCORE;2.2175;2;1;-180.0;3525.0;3345.0;192.0;3153.0;3345.0;0.0;-732.0
93;LONG;2026-01-12 23:30:00;2026-01-13 00:35:00;65.0;4637.2;84.66;4625.1;84.73;-3.51;1.36;TP_ZSCORE;2.7498;3;1;3630.0;350.0;3980.0;236.0;3744.0;3980.0;0.0;3012.0
94;LONG;2026-01-15 17:30:00;2026-01-15 19:00:00;90.0;4650.2;90.4;4641.5;90.965;-3.94;1.62;TP_ZSCORE;3.7028;4;1;3480.0;2825.0;6305.0;280.0;6025.0;6305.0;0.0;9037.0
95;LONG;2026-01-15 23:50:00;2026-01-16 01:40:00;110.0;4654.3;91.335;4645.1;90.83;-3.56;2.28;TP_ZSCORE;3.777;4;1;3680.0;-2525.0;1155.0;280.0;875.0;1155.0;-2460.0;9912.0
96;LONG;2026-01-16 07:00:00;2026-01-16 09:15:00;135.0;4640.9;88.775;4643.8;88.725;-3.8;1.19;TP_ZSCORE;3.8442;4;1;-1160.0;-250.0;-1410.0;280.0;-1690.0;3185.0;-4070.0;8222.0
97;SHORT;2026-01-16 09:30:00;2026-01-16 14:00:00;270.0;4585.4;86.965;4637.1;89.165;3.71;-1.64;TP_ZSCORE;3.8797;4;1;20680.0;-11000.0;9680.0;280.0;9400.0;12785.0;0.0;17622.0
98;LONG;2026-01-18 17:30:00;2026-01-18 19:05:00;95.0;4722.1;93.85;4716.2;94.06;-3.81;2.21;TP_ZSCORE;4.051;4;1;2360.0;1050.0;3410.0;280.0;3130.0;3410.0;-2295.0;20752.0
99;SHORT;2026-01-21 13:35:00;2026-01-21 14:55:00;80.0;4813.7;90.83;4868.0;92.495;3.56;-1.1;TP_ZSCORE;2.8727;3;1;16290.0;-8325.0;7965.0;236.0;7729.0;7965.0;-1895.0;28481.0
100;LONG;2026-01-28 17:35:00;2026-01-28 19:05:00;90.0;5617.8;119.2;5474.5;116.855;-3.72;1.84;TP_ZSCORE;1.849;2;1;28660.0;-11725.0;16935.0;192.0;16743.0;16935.0;0.0;45224.0
